Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0402_1005Metric",19.720000,-79.400000,0.000000,top
"C2","0.1uF","C_0402_1005Metric",34.980000,-57.400000,0.000000,top
"C3","0.1uF","C_0402_1005Metric",85.680000,-56.500000,0.000000,top
"C4","0.1uF","C_0402_1005Metric",79.720000,-56.600000,0.000000,top
"C5","0.1uF","C_0402_1005Metric",62.320000,-56.800000,0.000000,top
"C6","0.1uF","C_0402_1005Metric",64.400000,-11.920000,90.000000,top
"C7","0.1uF","C_0402_1005Metric",70.800000,-56.800000,0.000000,top
"C8","0.1uF","C_0402_1005Metric",17.220000,-57.300000,0.000000,top
"C9","0.1uF","C_0402_1005Metric",52.700000,-57.000000,0.000000,top
"C10","0.1uF","C_0402_1005Metric",43.320000,-57.100000,0.000000,top
"C11","0.1uF","C_0402_1005Metric",35.900000,-7.400000,-90.000000,top
"C12","0.1uF","C_0402_1005Metric",21.750000,-88.650000,180.000000,top
"C16","0.1uF","C_0402_1005Metric",93.720000,-10.200000,0.000000,top
"C17","0.1uF","C_0402_1005Metric",86.000000,-80.700000,0.000000,top
"J1","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",96.800000,-61.980000,0.000000,top
"J2","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",3.790000,-15.240000,0.000000,top
"J3","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",3.790000,-39.710000,0.000000,top
"J4","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",81.800000,-75.780000,0.000000,top
"J5","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",35.525000,-94.100000,90.000000,top
"J6","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",59.525000,-94.100000,90.000000,top
"J7","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",3.800000,-68.080000,0.000000,top
"J8","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",90.100000,-60.800000,0.000000,top
"J9","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",9.000000,-60.820000,0.000000,top
"J10","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",96.400000,-37.720000,0.000000,top
"J12","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",96.300000,-13.880000,0.000000,top
"J16","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",12.485000,-94.600000,90.000000,top
"P1","Power Bus","PinHeader_1x04_P2.54mm_Vertical",89.180000,-83.800000,90.000000,top
"PICO1","Pico","RPi_PicoW_SMD_TH",21.910000,-28.150000,270.000000,top
"PICO2","Pico","RPi_PicoW_SMD_TH",77.925000,-28.070000,270.000000,top
"PICO3","Pico","RPi_PicoW_SMD_TH",49.885000,-28.090000,270.000000,top
"RN1","R_Pack04","R_Array_Concave_4x0603",11.350000,-85.600000,0.000000,top
"RN2","R_Pack04","R_Array_Concave_4x0603",16.300000,-85.800000,0.000000,top
"RN3","R_Pack04","R_Array_Concave_4x0603",21.050000,-85.700000,0.000000,top
"U1","MC6809E","DIP-40_W15.24mm",49.43,-81.95,180.000000,top
"U2","SN74LVC245A","TSSOP-20_4.4x6.5mm_P0.65mm",78.800000,-64.600000,0.000000,top
"U4","SN74LVC245A","TSSOP-20_4.4x6.5mm_P0.65mm",61.787500,-64.600000,0.000000,top
"U5","SN74LVC245A","TSSOP-20_4.4x6.5mm_P0.65mm",44.500000,-64.600000,0.000000,top
"U6","SN74LVC245A","TSSOP-20_4.4x6.5mm_P0.65mm",26.500000,-65.100000,0.000000,top
