Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RESET1",KEY-SMD_4P-L4.2-W3.2-P2.20-LS5.1-TL,2,K2-1808SN-A4SW-01,C92589
"C1, C13, C14, C16, C2, C36, C7, C8",C_0402,8,100nF,C1525
"C10, C12",C_0603,2,4.7uF,C19666
C11,C_0603,1,4.7uF,C19666
"C15, C9",C_0402,2,100nF,C1525
"C17, C18",C_0402,2,15pF,C1548
C19,C_0402,1,4.7uF,C23733
"C20, C37, C40",C_0603,3,10uF,C19702
"C21, C38, C39",C_0603,3,100nF,C14663
"C3, C4, C5, C6",C_0402,4,100nF,C1525
D1,POWERDI-123_L2.8-W1.8-LS3.7-RD,1,~,C110493
"D2, D3",D0402-BI,2,RCLAMP0521P.TCT-MS,C3029033
J3,PinSocket_2x10_P2.54mm_Vertical_SMD,1,Conn_02x10_Odd_Even,C42163138
L1,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,1,~,C42411119
LED25,LED0603-RD_RED,1,Red,C2286
PWR_LED1,D_0603,1,Red,C2286
"R1, R4",R_0402,2,5.1kΩ,C25905
R11,R_0402,1,100kΩ,C25741
R12,R_0402,1,2kΩ,C4109
"R2, R3, R6",R_0402,3,33Ω,C25105
R28,R_0603,1,1kΩ,C21190
R5,R_0402,1,1kΩ,C11702
R7,R_0603,1,1Ω,C22936
R8,R_0603,1,200Ω,C8218
R9,R_0402,1,2kΩ,C4109
U1,QFN-80_L10.0-W10.0-P0.40-TL-EP3.4,1,RP2350B,C42415655
U2,CONN-SMD_3P-P1.0-HC-1.0-3PWT,1,HC-1.0-3PWT,C2845362
U3,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,Voltage Regulator,C427602
U4,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128,C97521
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,~,C2765186
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,~,C20625731
