Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,21.3534,-13.385,180.0,top
C1,35.7324,-23.495,180.0,top
C10,31.3409,-13.98,270.0,top
C11,29.1592,-11.3538,0.0,top
C12,32.5404,-13.986,270.0,top
C13,38.7456,-9.9866,270.0,top
C14,39.5986,-10.0076,270.0,top
C15,13.8434,-10.825,180.0,top
C16,28.2384,-17.165,180.0,top
C17,49.2934,-15.815,90.0,top
C18,49.3134,-17.985,90.0,top
C19,23.8252,-11.1252,0.0,top
C2,38.862,-23.5712,270.0,top
C20,63.3611,-33.3886,0.0,top
C21,63.3865,-35.2936,0.0,top
C3,40.9394,-23.459,270.0,top
C36,34.7734,-11.325,0.0,top
C37,10.6134,-18.465,270.0,top
C38,16.8134,-18.325,270.0,top
C39,9.4134,-18.145,270.0,top
C4,46.5274,-19.903,0.0,top
C40,15.5134,-18.265,270.0,top
C5,47.2534,-15.385,0.0,top
C6,47.0634,-17.825,0.0,top
C7,44.2414,-11.355,0.0,top
C8,31.3634,-20.485,0.0,top
C9,30.9934,-17.285,0.0,top
D1,9.8009,-10.645,180.0,top
D2,25.3634,-13.475,0.0,top
D3,27.3934,-13.165,270.0,top
J3,8.3643,-47.384,180.0,top
L1,29.3134,-14.045,270.0,top
LED25,22.5321,-59.4998,0.0,top
PWR_LED1,3.1034,-22.745,180.0,top
R1,9.1634,-14.975,180.0,top
R11,10.1134,-20.345,0.0,top
R12,11.7856,-21.3868,0.0,top
R2,26.2334,-15.005,180.0,top
R28,47.4472,-16.4592,180.0,top
R3,26.2234,-15.945,180.0,top
R4,8.3134,-18.945,90.0,top
R5,16.7134,-10.845,180.0,top
R6,32.8734,-11.145,180.0,top
R7,21.463,-10.922,180.0,top
R8,18.9134,-10.545,90.0,top
R9,18.6701,-59.4744,180.0,top
RESET1,15.2134,-13.315,0.0,top
U1,39.163796,-16.974109,180.0,top
U2,73.1334,-17.025,90.0,top
U3,13.0134,-18.945,0.0,top
U4,22.3734,-18.745,180.0,top
USB1,4.8714,-16.601,270.0,top
X1,52.0434,-16.955,90.0,top
